Year,Date_of_capture,Pass,Latitude,Longitude,Depth_m,Region,SEX,Length,Length_manual,Length_manual_2,Wt_kg,Age,Certainty,Biological_maturity,Functional_maturity,Prop_atresia,Oocyte_1,Oocyte_2,Oocyte_3,Oocyte_4_1,Oocyte_4_2,Oocyte_5,Oocyte_6,Oocyte_7,Oocyte_8,Oocyte_9,Oocyte_10,POFs,Spawning,Spent,SLIDE_IDENTIFIER,highest_o_stage,Max_mat_stage
2015,8/26/2015 0:00,2,47.56933721,-125.1048844,483.95,1,f,32,32,32,0.54,,1,1,0,0.5,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11482,4.2,3
2015,7/3/2015 0:00,1,36.16058313,-121.8307979,538.26,2,f,32,32,32,0.44,,1,1,0,0.01,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,11001,4.1,3
2016,6/8/2016 9:00,1,43.68461177,-124.6682683,406.2,1,F,31.5,31.5,31.5,0.54,,1,1,1,0.02,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,8074046,7,5
2016,5/24/2016 9:57,1,46.92808361,-125.0003865,407,1,F,31.5,31.5,31.5,0.58,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,0,1,20016025.4,11,7
2016,7/2/2016 6:24,1,35.86926826,-121.546159,405.3,2,F,31.5,31.5,31.5,0.56,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8148085,11,7
2012,9/17/2012,2,40.91514568,-124.4734278,385.4,1,f,31,31,31,0.48,26,1,1,1,0.2,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,2402,4.2,3
2012,9/17/2012,2,40.76656508,-124.5151104,381.2,1,f,31,31,31,0.56,30,1,1,1,0.1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,2333,4.2,3
2012,9/14/2012,2,41.96435366,-124.61787,453.2,1,f,31,31,31,0.5,24,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2803,5,4
2012,9/2/2012,2,44.41232972,-124.9700471,668.4,1,f,31,31,31,0.5,22,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,2908,11,7
2012,7/1/2012,1,35.93396677,-121.5740541,427.8,2,f,31,31,31,0.5,37,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,1,0,2711,10,6
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,31,31,31,0.46,73,0,1,0,0.05,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,2777,4.1,3
2013,8/24/2013,2,45.33336964,-124.7066494,488.9,1,f,31,31,31,0.48,,1,1,1,0.04,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6517,5,4
2013,7/3/2013,1,36.94066029,-122.4884016,525.6,2,f,31,31,31,0.5,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6031,6,4
2013,8/24/2013,2,45.57147413,-124.6768005,432,1,f,31,31,31,0.46,,1,1,1,0.2,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,0,1,6294,11,7
2014,7/6/2014,1,35.09219059,-121.4019449,503,2,f,31,31,31,0.44,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6781,5,4
2014,6/6/2014,1,45.31115804,-124.6349973,463.9,1,f,31,31,31,0.48,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,6971,7,5
2014,7/14/2014,1,34.26628583,-120.5747675,508.3,2,f,31,31,31,0.52,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,8654,6,4
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,31,31,31,0.54,,1,1,1,0,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,6770,7,5
2014,6/7/2014,1,45.23380479,-124.4676537,407.5,1,f,31,31,31,0.58,,1,1,1,0.2,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,6910,11,7
2014,6/6/2014,1,45.23713641,-124.5329401,434,1,f,31,31,31,0.54,,1,1,1,0,N,N,N,N,N,N,N,N,Y,Y,N,N,1,0,8349,9,6
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,31,31,31,0.42,,0,1,0,0.02,Y,Y,Y,Y,N,N,N,N,N,N,N,N,0,0,6852,4.1,3
2014,7/14/2014,1,34.26628583,-120.5747675,508.3,2,f,31,31,31,0.48,,1,0,0,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8589,3,2
2015,7/3/2015 0:00,1,35.9943798,-121.6457569,519.85,2,f,31,31,31,0.48,,1,1,1,0.1,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,11056,4.2,3
2015,10/2/2015 0:00,2,35.46813117,-121.3490171,553.02,2,f,31,31,31,0.5,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,0,0,12108,5,4
2015,10/12/2015 0:00,2,33.98578615,-120.5073275,449.57,2,f,31,31,31,0.48,,1,1,1,0.02,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11605,6,4
2015,10/2/2015 0:00,2,35.46813117,-121.3490171,553.02,2,f,31,31,31,0.48,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,12083,6,4
2015,10/2/2015 0:00,2,35.12927255,-121.4098559,539.74,2,f,31,31,31,0.5,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,0,0,11815,7,5
2015,10/3/2015 0:00,2,35.09564194,-121.0743057,502.54,2,f,31,31,31,0.48,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11516,6,4
2015,9/19/2015 0:00,2,40.14683707,-124.440584,521.45,2,f,31,31,31,0.48,,1,1,1,0.15,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,12069,11,7
2015,7/5/2015 0:00,1,35.25919165,-121.109018,434.56,2,f,31,31,31,0.56,,1,1,1,0.15,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,11036,11,7
2015,7/5/2015 0:00,1,35.21353333,-121.0841825,448.62,2,f,31,31,31,0.44,,1,1,1,0.1,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,41181,11,7
2015,6/1/2015 0:00,1,44.99920667,-124.646335,463.95,1,f,31,31,31,0.58,,1,1,1,0,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,1,0,11215,9,6
2016,6/29/2016 13:32,1,37.27513288,-122.9880787,534.1,2,F,30.5,30.5,30.5,0.42,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,20124086,5,4
2016,7/1/2016 6:25,1,36.07681358,-121.6938849,573.9,2,F,30.5,30.5,30.5,0.42,,1,1,1,0.05,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,20131108,5,4
2016,7/1/2016 12:17,1,36.2297823,-122.0733217,623.8,2,F,30.5,30.5,30.5,0.44,,1,1,1,0.03,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,0,0,8146084,6,4
2016,6/11/2016 14:00,1,42.20012492,-124.6669927,462.2,1,F,30.5,30.5,30.5,0.42,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,8090107,5,4
2016,7/14/2016 15:26,1,32.73278632,-120.0673052,513.8,2,F,30.5,30.5,30.5,0.48,,1,1,1,0.01,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,20182063,7,5
2016,5/24/2016 13:32,1,47.20451491,-124.9630244,414.2,1,F,30.5,30.5,30.5,0.5,,1,1,1,0.01,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,1,0,20017025.2,10,6
2012,7/4/2012,1,34.60685556,-120.9350464,489.1,2,f,30,30,30,0.5,54,1,1,1,0.15,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,2746,5,4
2012,7/3/2012,1,35.02146115,-121.1356959,551.2,2,f,30,30,30,0.36,25,1,1,1,0.05,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,2737,6,4
2012,9/17/2012,2,40.76656508,-124.5151104,381.2,1,f,30,30,30,0.48,22,1,1,1,0.02,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,2349,4.2,3
2012,5/24/2012,1,48.10733224,-125.7633945,452.9,1,f,30,30,30,0.52,19,1,1,1,0.01,Y,Y,N,N,N,N,Y,Y,N,N,N,N,0,0,2926,7,5
2012,9/14/2012,2,41.96435366,-124.61787,453.2,1,f,30,30,30,0.42,13,1,1,1,0.2,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,0,1,2804,11,7
2012,7/1/2012,1,35.93396677,-121.5740541,427.8,2,f,30,30,30,0.42,59,1,1,1,0.2,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,0,1,2756,11,7
2012,7/1/2012,1,35.63737441,-121.418349,433.8,2,f,30,30,30,0.4,38,1,1,1,0.2,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,0,1,2747,11,7
2012,9/6/2012,2,43.58712672,-124.6801944,434.9,1,f,30,30,30,0.42,22,0,0,0,0.25,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,2906,3,2
2013,7/3/2013,1,36.94066029,-122.4884016,525.6,2,f,30,30,30,0.5,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6030,6,4
2013,7/7/2013,1,34.92329876,-121.0764174,433.1,2,f,30,30,30,0.4,,1,1,1,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6067,11,7
2013,6/11/2013,1,43.62362273,-124.686251,451.4,1,f,30,30,30,0.46,,1,1,1,0.05,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,6190,11,7
2013,6/2/2013,1,45.12692383,-124.4828616,366.9,1,f,30,30,30,0.42,,1,1,1,0.02,N,N,N,N,N,N,N,N,N,Y,Y,Y,1,0,2411,10,6
2013,5/25/2013,1,45.38069512,-124.6728558,434.1,1,f,30,30,30,0.42,,1,1,0,0.9,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,0,0,3458,8,5
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,30,30,30,0.48,,1,1,1,0.02,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6783,5,4
2014,9/29/2014,2,34.89628417,-121.0905625,527.9,2,f,30,30,30,0.44,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,6951,7,5
2014,9/26/2014,2,36.54976083,-122.0347192,515.1,2,f,30,30,30,0.48,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,0,0,6925,5,4
2014,7/6/2014,1,35.12671646,-121.5266986,557.9,2,f,30,30,30,0.46,,1,1,1,0.01,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,0,0,6679,6,4
2014,6/6/2014,1,45.31115804,-124.6349973,463.9,1,f,30,30,30,0.48,,1,1,1,0,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,0,0,6756,7,5
2014,7/5/2014,1,35.27571928,-121.1646408,476.3,2,f,30,30,30,0.44,,1,1,1,0.3,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8437,11,7
2014,9/6/2014,2,44.83486143,-124.7909624,414.1,1,f,30,30,30,0.44,,1,1,1,0.02,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8755,11,7
2014,9/6/2014,2,44.83486143,-124.7909624,414.1,1,f,30,30,30,0.44,,1,1,1,0.01,Y,Y,Y,N,N,N,N,N,N,N,N,Y,0,1,8747,11,7
2014,7/14/2014,1,33.87265258,-120.3279606,530.8,2,f,30,30,30,0.38,,1,0,0,0.2,Y,Y,Y,N,N,N,N,N,N,N,N,N,0,0,8415,3,2
2015,7/7/2015 0:00,1,34.24693093,-120.5178465,500.23,2,f,30,30,30,0.44,,1,1,1,0.15,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,0,0,41267,6,4
2015,10/5/2015 0:00,2,34.92525165,-121.0602796,437.74,2,f,30,30,30,0.4,,1,1,1,0.05,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11961,6,4
2015,6/6/2015 0:00,1,44.79712167,-124.86745,456.11,1,f,30,30,30,0.48,,1,1,1,0.02,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,0,0,8762,7,5
2015,10/1/2015 0:00,2,35.60072238,-121.4343249,530.64,2,f,30,30,30,0.48,,1,1,1,0.01,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,0,0,11441,6,4
2015,8/24/2015 0:00,2,46.63855944,-124.8094389,447.42,1,f,30,30,30,0.44,,1,1,1,0.1,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,0,1,12171,11,7
